Name,Gender
Beak,Male
Beescratch,Male
Bumper,Male
CCL,Female
Cross,Male
DN16,Female
DN21,Male
DN63,Male
Double,Female
Feather,Male
Fish,Female
Five,Female
Fork,Male
Gallatin,Male
Grin,Female
Haecksel,Male
Hook,Female
Jet,Male
Jonah,Male
Knit,Male
Kringel,Female
MN105,Male
MN23,Male
MN60,Male
MN83,Male
Mus,Male
Notch,Male
Number1,Male
Oscar,Male
Patchback,Male
PL,Male
Quasi,Male
Ripplefluke,Unknown
Scabs,Female
Shmuddel,Female
SMN5,Male
SN100,Female
SN4,Female
SN63,Female
SN89,Female
SN9,Female
SN90,Male
SN96,Male
Stripes,Female
Thumper,Male
Topless,Male
TR120,Female
TR77,Female
TR82,Unknown
TR88,Female
TR99,Female
Trigger,Female
TSN103,Female
TSN83,Unknown
Upbang,Male
Vau,Female
Wave,Female
Web,Male
Whitetip,Female
Zap,Unknown
Zig,Male
Zipfel,Male
